Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,3e-07,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,10,1
Vertical Units,V,V,A
Vertical Offset,0,10,0.0452
Vertical Scale,5,0.2,0.005
Vertical Position,2.66,4.86,-0.66
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH4
-4.673e-05,4.5,9.34,0.0451
-4.672e-05,4.5,9.332,0.0453
-4.671e-05,4.5,9.332,0.0453
-4.670e-05,4.5,9.332,0.0449
-4.669e-05,4.5,9.332,0.0451
-4.668e-05,4.5,9.332,0.0451
-4.667e-05,4.3,9.34,0.0449
-4.666e-05,4.7,9.34,0.0451
-4.665e-05,4.3,9.34,0.0453
-4.664e-05,4.7,9.332,0.0447
-4.663e-05,4.5,9.332,0.0447
-4.662e-05,4.5,9.332,0.0451
-4.661e-05,4.5,9.332,0.0451
-4.660e-05,4.5,9.324,0.0451
-4.659e-05,4.5,9.324,0.0449
-4.658e-05,4.5,9.332,0.0453
-4.657e-05,4.7,9.324,0.0449
-4.656e-05,4.5,9.332,0.0447
-4.655e-05,4.7,9.324,0.0453
-4.654e-05,4.5,9.324,0.0447
-4.653e-05,4.9,9.324,0.0451
-4.652e-05,4.5,9.332,0.0451
-4.651e-05,4.7,9.324,0.0451
-4.650e-05,4.5,9.324,0.0449
-4.649e-05,4.5,9.308,0.0451
-4.648e-05,4.7,9.316,0.0451
-4.647e-05,4.7,9.316,0.0449
-4.646e-05,4.5,9.316,0.0451
-4.645e-05,4.5,9.316,0.0449
-4.644e-05,4.5,9.324,0.0449
-4.643e-05,4.5,9.316,0.0451
-4.642e-05,4.5,9.308,0.0449
-4.641e-05,4.5,9.308,0.0447
-4.640e-05,4.7,9.308,0.0451
-4.639e-05,4.5,9.308,0.0449
-4.638e-05,4.5,9.316,0.0449
-4.637e-05,4.5,9.308,0.0451
-4.636e-05,4.7,9.308,0.0447
-4.635e-05,4.5,9.308,0.0449
-4.634e-05,4.7,9.3,0.0447
-4.633e-05,4.7,9.308,0.0451
-4.632e-05,4.7,9.308,0.0451
