Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-05,
Horizontal Delay,0,
Sample Interval,1e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,5.03,0
Vertical Scale,1,2
Vertical Position,2.2,-2.8
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.380e-05,4.75,0.72
-4.379e-05,4.75,0.64
-4.378e-05,4.71,0.64
-4.377e-05,4.75,0.64
-4.376e-05,4.71,0.72
-4.375e-05,4.71,0.64
-4.374e-05,4.75,0.64
-4.373e-05,4.71,0.72
-4.372e-05,4.71,0.56
-4.371e-05,4.71,0.56
-4.370e-05,4.71,0.64
-4.369e-05,4.75,0.56
-4.368e-05,4.71,0.64
-4.367e-05,4.71,0.72
-4.366e-05,4.75,0.64
-4.365e-05,4.71,0.64
-4.364e-05,4.75,0.64
-4.363e-05,4.71,0.72
-4.362e-05,4.71,0.72
-4.361e-05,4.75,0.64
-4.360e-05,4.71,0.56
-4.359e-05,4.75,0.64
-4.358e-05,4.71,0.64
-4.357e-05,4.71,0.72
-4.356e-05,4.75,0.72
-4.355e-05,4.75,0.64
-4.354e-05,4.71,0.8
-4.353e-05,4.71,0.72
-4.352e-05,4.75,0.48
-4.351e-05,4.71,0.64
-4.350e-05,4.75,0.8
-4.349e-05,4.75,0.64
-4.348e-05,4.71,0.64
-4.347e-05,4.71,0.64
-4.346e-05,4.71,0.64
-4.345e-05,4.75,0.72
-4.344e-05,4.75,0.64
-4.343e-05,4.75,0.72
-4.342e-05,4.71,0.64
-4.341e-05,4.71,0.72
-4.340e-05,4.71,0.64
-4.339e-05,4.71,0.64
-4.338e-05,4.75,0.64
-4.337e-05,4.75,0.56
-4.336e-05,4.71,0.64
-4.335e-05,4.67,0.64
-4.334e-05,4.75,0.72
-4.333e-05,4.71,0.64
-4.332e-05,4.71,0.72
-4.331e-05,4.71,0.64
-4.330e-05,4.71,0.64
-4.329e-05,4.75,0.64
-4.328e-05,4.71,0.64
-4.327e-05,4.75,0.72
-4.326e-05,4.71,0.56
-4.325e-05,4.71,0.64
-4.324e-05,4.71,0.72
-4.323e-05,4.71,0.64
-4.322e-05,4.67,0.72
-4.321e-05,4.75,0.56
-4.320e-05,4.75,0.64
-4.319e-05,4.71,0.64
-4.318e-05,4.71,0.64
-4.317e-05,4.71,0.72
-4.316e-05,4.67,0.64
-4.315e-05,4.75,0.64
-4.314e-05,4.75,0.64
-4.313e-05,4.71,0.64
-4.312e-05,4.75,0.64
-4.311e-05,4.75,0.64
-4.310e-05,4.75,0.64
-4.309e-05,4.75,0.64
-4.308e-05,4.71,0.64
-4.307e-05,4.75,0.72
-4.306e-05,4.75,0.64
-4.305e-05,4.75,0.64
-4.304e-05,4.71,0.72
-4.303e-05,4.71,0.64
-4.302e-05,4.71,0.64
-4.301e-05,4.75,0.64
-4.300e-05,4.67,0.64
-4.299e-05,4.71,0.64
-4.298e-05,4.75,0.64
-4.297e-05,4.75,0.72
-4.296e-05,4.71,0.64
-4.295e-05,4.75,0.72
-4.294e-05,4.71,0.72
-4.293e-05,4.75,0.72
-4.292e-05,4.71,0.64
-4.291e-05,4.71,0.72
-4.290e-05,4.75,0.64
-4.289e-05,4.75,0.72
-4.288e-05,4.67,0.64
-4.287e-05,4.75,0.72
-4.286e-05,4.75,0.64
-4.285e-05,4.71,0.64
-4.284e-05,4.67,0.64
-4.283e-05,4.75,0.72
-4.282e-05,4.71,0.64
-4.281e-05,4.75,0.64
-4.280e-05,4.71,0.64
-4.279e-05,4.71,0.72
-4.278e-05,4.71,0.72
-4.277e-05,4.71,0.72
-4.276e-05,4.75,0.72
-4.275e-05,4.75,0.72
-4.274e-05,4.71,0.64
-4.273e-05,4.75,0.56
-4.272e-05,4.71,0.64
-4.271e-05,4.75,0.64
-4.270e-05,4.75,0.64
-4.269e-05,4.75,0.64
-4.268e-05,4.75,0.64
-4.267e-05,4.71,0.64
-4.266e-05,4.75,0.72
-4.265e-05,4.71,0.64
-4.264e-05,4.71,0.64
-4.263e-05,4.67,0.64
-4.262e-05,4.75,0.64
-4.261e-05,4.71,0.72
-4.260e-05,4.75,0.8
-4.259e-05,4.75,0.64
-4.258e-05,4.71,0.72
-4.257e-05,4.71,0.64
-4.256e-05,4.71,0.64
-4.255e-05,4.71,0.64
-4.254e-05,4.71,0.72
-4.253e-05,4.75,0.72
-4.252e-05,4.71,0.64
-4.251e-05,4.71,0.64
-4.250e-05,4.71,0.72
-4.249e-05,4.71,0.64
-4.248e-05,4.71,0.64
-4.247e-05,4.71,0.64
-4.246e-05,4.71,0.64
-4.245e-05,4.75,0.72
-4.244e-05,4.71,0.64
-4.243e-05,4.75,0.64
-4.242e-05,4.67,0.64
-4.241e-05,4.75,0.64
-4.240e-05,4.75,0.72
-4.239e-05,4.71,0.64
-4.238e-05,4.75,0.72
-4.237e-05,4.71,0.72
-4.236e-05,4.71,0.64
-4.235e-05,4.71,0.64
-4.234e-05,4.75,0.64
-4.233e-05,4.71,0.8
-4.232e-05,4.71,0.64
-4.231e-05,4.67,0.64
-4.230e-05,4.75,0.64
-4.229e-05,4.71,0.64
-4.228e-05,4.71,0.64
-4.227e-05,4.71,0.72
-4.226e-05,4.71,0.64
-4.225e-05,4.71,0.64
-4.224e-05,4.75,0.64
-4.223e-05,4.75,0.64
-4.222e-05,4.75,0.64
-4.221e-05,4.71,0.64
-4.220e-05,4.71,0.64
-4.219e-05,4.71,0.64
-4.218e-05,4.71,0.64
-4.217e-05,4.71,0.64
-4.216e-05,4.75,0.72
-4.215e-05,4.67,0.64
-4.214e-05,4.71,0.64
-4.213e-05,4.71,0.64
-4.212e-05,4.71,0.64
-4.211e-05,4.71,0.64
-4.210e-05,4.71,0.64
-4.209e-05,4.71,0.64
-4.208e-05,4.71,0.64
-4.207e-05,4.71,0.72
-4.206e-05,4.71,0.72
-4.205e-05,4.75,0.64
-4.204e-05,4.67,0.72
-4.203e-05,4.71,0.72
-4.202e-05,4.71,0.64
-4.201e-05,4.75,0.72
-4.200e-05,4.71,0.64
-4.199e-05,4.71,0.72
-4.198e-05,4.75,0.72
-4.197e-05,4.71,0.64
-4.196e-05,4.75,0.64
-4.195e-05,4.71,0.72
-4.194e-05,4.63,0.64
-4.193e-05,4.75,0.72
-4.192e-05,4.75,0.64
-4.191e-05,4.75,0.72
-4.190e-05,4.71,0.64
-4.189e-05,4.71,0.72
-4.188e-05,4.67,0.64
-4.187e-05,4.75,0.64
-4.186e-05,4.67,0.72
-4.185e-05,4.75,0.64
-4.184e-05,4.71,0.64
-4.183e-05,4.75,0.64
-4.182e-05,4.79,0.64
-4.181e-05,4.75,0.8
-4.180e-05,4.67,0.64
-4.179e-05,4.71,0.64
